minsup_frac,minsup_abs,itemset_count,julia_opt_ms,spmf_ms,baseline_ms
0.5,4062,153,3.6,87.0,39.2
0.4,3250,565,4.1,171.0,139.9
0.35,2844,1189,4.2,244.0,358.1
0.3,2438,2735,4.9,385.0,626.4
0.25,2031,5545,6.0,608.0,1170.5
0.2,1625,53583,65.3,2458.0,8161.0
0.15,1219,98575,189.1,4323.0,13412.6
