minsup_frac,minsup_abs,itemset_count,julia_opt_ms,spmf_ms,baseline_ms
0.1,8817,9,35.0,85.0,N/A
0.08,7053,13,36.3,83.0,N/A
0.06,5290,15,60.4,84.0,N/A
0.04,3527,18,39.0,97.0,N/A
0.02,1764,55,39.6,140.0,N/A
0.01,882,159,124.0,302.0,N/A
0.005,441,580,174.3,977.0,N/A
