minsup_frac,minsup_abs,itemset_count,julia_opt_ms,spmf_ms,baseline_ms
0.9,306165,31,338.1,529.0,N/A
0.85,289156,71,325.4,1528.0,N/A
0.8,272147,149,422.2,2963.0,N/A
0.75,255138,313,449.4,6105.0,N/A
0.7,238129,529,461.9,10215.0,N/A
