minsup_frac,minsup_abs,itemset_count,julia_opt_ms,spmf_ms,baseline_ms
0.9,2877,622,2.1,133.0,91.5
0.85,2717,2669,2.8,264.0,455.2
0.8,2557,8227,7.1,657.0,1508.4
0.75,2397,20993,6.5,1565.0,4007.5
0.7,2238,48731,161.4,3608.0,9063.0
0.65,2078,111239,60.4,10673.0,23572.9
0.6,1918,254944,149.6,20212.0,135335.4
