minsup_frac,minsup_abs,itemset_count,julia_opt_ms,spmf_ms,baseline_ms
0.05,5000,316,490.7,15766.0,N/A
0.03,3000,793,1913.5,40214.0,N/A
0.02,2000,2293,944.6,-1.0,N/A
0.01,1000,65236,3205.4,-1.0,N/A
0.005,500,1286037,18860.5,-1.0,N/A
