minsup_frac,minsup_abs,itemset_count,julia_opt_ms,spmf_ms,baseline_ms
0.97,65531,487,1476.4,813.0,N/A
0.95,64180,2201,184.3,6296.0,N/A
0.93,62829,7203,1897.3,10964.0,N/A
0.91,61477,18067,5266.9,26812.0,N/A
